Product Name,SKU,Parent SKU,Brand,Category,Description,MRP,Selling Price,Stock,Length (cm),Breadth (cm),Height (cm),Weight (kg),HSN,EAN/UPC,Image URL,Variant,Variant Value,Product ID,Variant ID
Mind Set,MINDSET-BLACK-S,,,Oversized,Bold gradient design with lightweight fabric and a clean silhouette. This hoodie adds a pop of color to your casual or sporty wardrobe.,750,750,11,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159933/products/bv4agh9avhr0pawlu9pk.jpg,Size,S,773642876,968644875
Mind Set,MINDSET-BLACK-M,,,Oversized,Bold gradient design with lightweight fabric and a clean silhouette. This hoodie adds a pop of color to your casual or sporty wardrobe.,750,750,14,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159933/products/bv4agh9avhr0pawlu9pk.jpg,Size,M,773642876,854502267
Mind Set,MINDSET-BLACK-L,,,Oversized,Bold gradient design with lightweight fabric and a clean silhouette. This hoodie adds a pop of color to your casual or sporty wardrobe.,750,750,33,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159933/products/bv4agh9avhr0pawlu9pk.jpg,Size,L,773642876,352859933
Mind Set,MINDSET-BLACK-XL,,,Oversized,Bold gradient design with lightweight fabric and a clean silhouette. This hoodie adds a pop of color to your casual or sporty wardrobe.,750,750,22,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159933/products/bv4agh9avhr0pawlu9pk.jpg,Size,XL,773642876,267741998
Plain Oversized Tee - Blue,PLAIN-BLUE-BLUE-XS,,,Oversized,"Cool blue oversized tee. Perfect for a relaxed, laid-back look.",470,470,5,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159470/products/iehwlba2qbpsbst5xhkt.jpg,Size,XS,426306090,744300161
Plain Oversized Tee - Blue,PLAIN-BLUE-BLUE-S,,,Oversized,"Cool blue oversized tee. Perfect for a relaxed, laid-back look.",470,470,4,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159470/products/iehwlba2qbpsbst5xhkt.jpg,Size,S,426306090,332508110
Plain Oversized Tee - Blue,PLAIN-BLUE-BLUE-M,,,Oversized,"Cool blue oversized tee. Perfect for a relaxed, laid-back look.",470,470,6,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159470/products/iehwlba2qbpsbst5xhkt.jpg,Size,M,426306090,531311608
Plain Oversized Tee - Blue,PLAIN-BLUE-BLUE-L,,,Oversized,"Cool blue oversized tee. Perfect for a relaxed, laid-back look.",470,470,3,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159470/products/iehwlba2qbpsbst5xhkt.jpg,Size,L,426306090,806402545
Plain Oversized Tee - Blue,PLAIN-BLUE-BLUE-XL,,,Oversized,"Cool blue oversized tee. Perfect for a relaxed, laid-back look.",470,470,9,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159470/products/iehwlba2qbpsbst5xhkt.jpg,Size,XL,426306090,225569821
Plain Oversized Tee - Blue,PLAIN-BLUE-BLUE-XXL,,,Oversized,"Cool blue oversized tee. Perfect for a relaxed, laid-back look.",470,470,,,,,0.5,,,https://res.cloudinary.com/doqgc983e/image/upload/v1769159470/products/iehwlba2qbpsbst5xhkt.jpg,Size,XXL,426306090,415009752
